"primary_key","working_hours","job_category","eco_sect","job_dep","TYPE_OF_CONTRACT","Wage","EMPLOYEE_COUNT","Work_description","job_condition","COMPANY_CATEGORY"
2,1672,"O","CA","01","CDI",10042,"tr_4","674b","C","ct_9"
4,1148,"O","NZ","01","CDI",10625,"tr_5","684a","P","ct_9"
6,783,"A","CA","01","APP",4292,"tr_1","683a","C","ct_9"
9,1664,"O","PZ","01","CDI",24926,"tr_4","422b","P","ct_8"
11,1496,"O","GZ","01","CDI",12078,"tr_3","552a","P","ct_9"
16,986,"O","PZ","01","CDI",9553,"tr_3","525a","P","ct_8"
19,1268,"O","NZ","01","CDI",10562,"tr_2","563b","P","ct_9"
23,1709,"O","FZ","01","CDI",14041,"tr_1","681b","C","ct_9"
25,1598,"O","GZ","01","CDI",15970,"tr_1","554e","C","ct_9"
28,1798,"O","GZ","01","CDI",23133,"tr_1","653a","C","ct_9"
29,276,"O","GZ","01","CDI",3263,"tr_1","554d","C","ct_9"
35,824,"O","PZ","01","CDI",8873,"tr_4","523b","P","ct_1"
41,1587,"O","CK","38","CDI",20836,"tr_1","628b","C","ct_9"
46,1254,"O","IZ","01","CDI",12595,"tr_2","561c","C","ct_9"
53,1974,"O","OZ","01","CDI",20005,"tr_6","451g","C","ct_2"
65,1820,"O","OZ","01","AUT",24417,"tr_4","522a","C","ct_1"
88,1246,"O","NZ","01","CDI",22705,"tr_3","433a","C","ct_9"
90,3000,"O","QB","01","CDI",12327,"tr_1","563a","N","ct_7"
102,473,"O","CG","01","CDI",5726,"tr_2","637d","P","ct_9"
103,1820,"O","CG","01","CDI",17354,"tr_3","676e","C","ct_9"
105,797,"O","CH","01","CDI",10701,"tr_3","673a","C","ct_9"
106,589,"O","CA","01","CDI",6079,"tr_2","636c","C","ct_9"
111,1439,"O","GZ","01","CDI",18349,"tr_3","462b","C","ct_9"
114,1645,"O","CG","01","CDI",15337,"tr_4","626b","C","ct_9"
117,1856,"O","JC","53","CDI",26307,"tr_1","388a","C","ct_9"
120,1509,"O","CH","01","CDI",24162,"tr_5","484b","C","ct_9"
125,560,"O","NZ","01","TTP",4277,"tr_1","674c","C","ct_9"
126,1145,"O","IZ","01","CDI",11122,"tr_1","636d","C","ct_9"
129,1820,"O","MA","75","CDI",19066,"tr_6","479b","C","ct_9"
133,149,"O","MB","38","CDI",1706,"tr_6","479a","C","ct_9"
