"primary_key","sports"
2,"club109"
4,"club102"
6,"club109"
8,"club404"
9,"club102"
11,"club102"
12,"club109"
13,"club604"
65,"club266"
70,"club105"
104,"club108"
105,"club107"
106,"club107"
109,"club109"
111,"club107"
114,"club107"
117,"club102"
119,"club110"
120,"club102"
121,"club108"
125,"club121"
126,"club107"
127,"club108"
128,"club101"
129,"club107"
133,"club121"
135,"club114"
136,"club107"
138,"club121"
140,"club121"
144,"club102"
145,"club102"
146,"club108"
147,"club102"
149,"club102"
150,"club110"
155,"club102"
156,"club108"
158,"club114"
159,"club109"
161,"club102"
162,"club109"
163,"club107"
164,"club102"
167,"club108"
171,"club123"
174,"club123"
202,"club415"
217,"club121"
239,"club123"
243,"club109"
244,"club132"
256,"club108"
263,"club254"
266,"club251"
274,"club105"
280,"club111"
288,"club109"
289,"club133"
293,"club111"
305,"club111"
309,"club113"
318,"club101"
326,"club101"
328,"club113"
331,"club105"
346,"club132"
359,"club211"
362,"club221"
374,"club112"
375,"club112"
398,"club111"
402,"club101"
403,"club107"
404,"club101"
406,"club102"
412,"club101"
416,"club101"
417,"club101"
420,"club132"
436,"club601"
438,"club133"
443,"club604"
461,"club410"
471,"club111"
491,"club105"
499,"club401"
516,"club105"
517,"club402"
521,"club113"
522,"club123"
523,"club211"
524,"club245"
557,"club109"
564,"club111"
566,"club245"
575,"club212"
576,"club105"
578,"club105"
591,"club114"
596,"club129"
598,"club102"
608,"club111"
610,"club115"
630,"club132"
635,"club261"
656,"club105"
658,"club102"
659,"club108"
663,"club108"
665,"club109"
667,"club102"
670,"club106"
671,"club105"
672,"club108"
674,"club111"
675,"club102"
678,"club110"
679,"club105"
680,"club103"
681,"club105"
683,"club108"
687,"club105"
689,"club102"
690,"club108"
693,"club124"
694,"club110"
695,"club124"
696,"club110"
697,"club109"
746,"club105"
775,"club134"
805,"club109"
813,"club106"
823,"club106"
824,"club113"
825,"club102"
826,"club402"
827,"club102"
832,"club102"
843,"club103"
847,"club111"
853,"club221"
857,"club403"
882,"club605"
889,"club135"
897,"club108"
898,"club132"
942,"club105"
943,"club402"
947,"club115"
958,"club242"
966,"club105"
993,"club264"
997,"club404"
